procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 148052   8308    940  33916  132    0   132     0 1284 1082 82 16  2  0
 4  1 149736   8860    864  33400 1332 2612  1620  3048 4920 5154 64 16 19  1
 2  0 150300   9428    784  32904 1068 1348  1180  1348 2224 1911 62 10 26  1
 2  0 149528   7668    796  34032 1224    0  2356     0 1405 1155 83 16  1  0
 2  0 151012  10460    624  32580   24 1532    24  1580 3937  773 82 13  3  2
 3  0 152032  11948    608  32388  312 1192   316  1192 2071 1245 75 18  8  0
 2  0 151756  11132    608  32488  300    0   336     0 1231  941 84 14  2  0
 2  0 151716  10944    608  32568    4    0    84     0  933  609 85 15  1  0
 2  0 151496  10664    608  32568  260    0   260     0 1165  882 85 15  1  0
 2  0 152084  11224    604  32232  440  804   444   836 2603 1967 80 15  5  0
 3  0 152148   9712    564  32188  728  724   852   724 3568 3117 73 21  6  1
 1  0 151772  10120    564  32240  524    0   528   380 1019 1487 65  8 26  0
 3  0 151584   9644    564  32376  184    0   288     0 1547 1282 81 16  4  0
 2  0 151580   9488    564  32404    0    0     0     0 1107  861 85 15  1  0
 2  1 153592  15072    312  28148  280 2120   280  2272 2144 1002 78 17  3  2
 3  1 153592  18560    260  26456   96  172   100   172 1812 1102 84 14  1  1
 2  1 153592  21696    240  25016  160  104   228   224 2370 1581 81 16  1  1
 3  0 153520  22784    228  24016  268   60   268    60 1519 1071 84 13  2  2
 2  0 153492  23552    204  23556  676  568   796   568 3230 3158 65 14 11  9
 2  0 153272  23144    216  23572  324    0   328    56 1094 1165 81 10  9  0
 5  0 153120  22924    216  23616  244    0   244     0 1552 1407 82 17  2  0
 5  0 153044  22580    216  23640  120    0   120     0 1104  793 80 15  4  0
 6  0 153572  22728    216  23460  228  592   232   592 1924 1444 81 17  1  0
 1  0 153284  32380    112  17308  892  184  1140   816 3211 2361 62  9 26  3
 2  0 153128  32316    120  17784  316    0   800    64  891  600 62 13 26  0
 2  0 153084  32068    120  17792   92    0    92     0 1220  686 83 16  1  0
 3  0 152964  31880    120  17864  148    0   164     0 1765 1481 83 15  1  0
 1  0 152632  30880    120  17964  632    0   632     0 2090 2505 53 13 35  0
 2  0 152628  31364    120  17972    0    0     0     0  872  409 59 12 29  0
 2  0 152520  31200    128  18032  164    0   164    32 1380 1178 82 14  4  0
 2  0 151500  29252    128  18020 1832    0  1832     0 1636 1211 83 12  5  0
 2  0 151488  28948    128  18240    0    0   208     0  929  687 83 16  1  0
 2  0 151480  28736    264  18288   12    0   148     0 1750 1319 82 14  3  0
 3  0 151416  27380    264  18344   60    0    60     0 2222 2058 79 18  3  0
 2  1 153592  28588    256  17708  796 2636  1064  3096 3967 2393 77 16  5  1
 2  0 153448  29276    264  17672  196    0   196    60 1054 1016 85 14  1  0
 2  0 153344  30700    264  17672  216    0   216     0  982  791 80 17  3  0
 2  0 153212  30468    264  17680  272    0   272     0  865  596 79 16  5  0
 2  0 153168  30408    264  17680   72    0    72     0  947  606 84 16  1  0
 1  0 152516  29492    264  17740  880    0   884     0 1763 1935 69 12 19  1
 2  0 152164  29392    272  17812  600    0   648    28 1447 1960 58  9 32  0
 1  0 151868  29020    272  17848  372    0   372     0 1705 1802 77 17  6  0
 2  0 151844  28764    272  17876   32    0    32     0 1268  995 83 15  2  0
 2  0 151840  28640    272  17896    0    0     0     0 1308 1027 83 14  3  0
 1  0 151824  28360    272  17912   12    0    12     0 1340 1126 84 15  2  0
 1  0 151692  28152    280  16748  124    0   180    24 2530 2735 75 22  4  0
 2  0 151464  28800    280  16824  244    0   244     0 1275 1561 65  8 26  0
 2  0 151400  28628    280  16844   76    0    76     0 1436 1119 82 16  1  0
